CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 210.187500 1573782290.0455
MEM 210.437500 1573782290.1460
MEM 210.687500 1573782290.2463
MEM 210.937500 1573782290.3465
MEM 211.187500 1573782290.4468
MEM 211.437500 1573782290.5471
MEM 211.949219 1573782290.6474
MEM 213.691406 1573782290.7476
MEM 213.691406 1573782290.8479
MEM 213.691406 1573782290.9482
MEM 213.691406 1573782291.0486
MEM 213.937500 1573782291.1489
MEM 213.937500 1573782291.2492
MEM 214.187500 1573782291.3495
MEM 214.437500 1573782291.4498
MEM 214.687500 1573782291.5501
MEM 214.687500 1573782291.6504
MEM 214.937500 1573782291.7507
MEM 215.187500 1573782291.8510
MEM 215.437500 1573782291.9513
MEM 215.687500 1573782292.0515
MEM 215.937500 1573782292.1518
MEM 216.187500 1573782292.2521
MEM 216.437500 1573782292.3524
MEM 216.687500 1573782292.4528
MEM 216.937500 1573782292.5531
MEM 217.187500 1573782292.6534
MEM 217.437500 1573782292.7537
MEM 217.687500 1573782292.8540
MEM 217.687500 1573782292.9543
MEM 217.937500 1573782293.0546
MEM 218.187500 1573782293.1549
MEM 218.437500 1573782293.2552
MEM 218.937500 1573782293.3555
MEM 219.187500 1573782293.4557
MEM 219.187500 1573782293.5560
MEM 219.687500 1573782293.6563
MEM 219.687500 1573782293.7567
MEM 219.937500 1573782293.8570
MEM 220.437500 1573782293.9573
MEM 221.691406 1573782294.0576
MEM 221.691406 1573782294.1579
MEM 221.691406 1573782294.2582
MEM 221.691406 1573782294.3585
MEM 221.691406 1573782294.4588
MEM 221.937500 1573782294.5590
MEM 222.187500 1573782294.6593
MEM 222.187500 1573782294.7595
MEM 222.437500 1573782294.8598
MEM 222.687500 1573782294.9601
MEM 222.937500 1573782295.0604
MEM 223.187500 1573782295.1608
MEM 223.437500 1573782295.2611
MEM 223.687500 1573782295.3613
MEM 223.937500 1573782295.4616
MEM 223.937500 1573782295.5619
MEM 224.187500 1573782295.6622
MEM 224.437500 1573782295.7625
MEM 224.687500 1573782295.8627
MEM 224.937500 1573782295.9630
MEM 225.187500 1573782296.0634
MEM 225.437500 1573782296.1638
MEM 225.687500 1573782296.2640
MEM 225.937500 1573782296.3643
MEM 226.187500 1573782296.4646
MEM 226.437500 1573782296.5648
MEM 226.687500 1573782296.6651
MEM 226.937500 1573782296.7654
MEM 227.187500 1573782296.8657
MEM 227.441406 1573782296.9660
MEM 227.441406 1573782297.0664
MEM 227.441406 1573782297.1667
MEM 227.441406 1573782297.2670
MEM 227.441406 1573782297.3673
MEM 227.441406 1573782297.4675
MEM 227.441406 1573782297.5678
MEM 227.441406 1573782297.6681
MEM 227.441406 1573782297.7684
MEM 227.687500 1573782297.8686
MEM 227.941406 1573782297.9688
MEM 228.187500 1573782298.0691
MEM 228.437500 1573782298.1693
MEM 228.691406 1573782298.2697
MEM 228.937500 1573782298.3700
MEM 229.187500 1573782298.4703
MEM 229.437500 1573782298.5706
MEM 229.687500 1573782298.6708
MEM 229.687500 1573782298.7711
MEM 229.687500 1573782298.8714
MEM 229.687500 1573782298.9717
MEM 230.207031 1573782299.0719
MEM 230.460938 1573782299.1722
MEM 230.460938 1573782299.2726
MEM 230.460938 1573782299.3729
MEM 230.535156 1573782299.4733
MEM 230.535156 1573782299.5736
MEM 230.535156 1573782299.6740
MEM 228.785156 1573782299.7744
