CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 1.687500 1573781026.0616
MEM 20.085938 1573781026.1619
MEM 30.519531 1573781026.2622
MEM 40.292969 1573781026.3625
MEM 37.898438 1573781026.4628
MEM 46.082031 1573781026.5631
MEM 48.156250 1573781026.6634
MEM 69.871094 1573781026.7638
MEM 83.718750 1573781026.8641
MEM 93.074219 1573781026.9644
MEM 94.410156 1573781027.0647
MEM 97.242188 1573781027.1650
MEM 99.738281 1573781027.2654
MEM 99.738281 1573781027.3656
MEM 99.738281 1573781027.4659
MEM 100.453125 1573781027.5661
MEM 100.703125 1573781027.6663
MEM 100.953125 1573781027.7666
MEM 101.203125 1573781027.8668
MEM 101.453125 1573781027.9671
MEM 101.703125 1573781028.0673
MEM 101.953125 1573781028.1677
MEM 102.203125 1573781028.2680
MEM 102.453125 1573781028.3683
MEM 102.703125 1573781028.4685
MEM 102.953125 1573781028.5688
MEM 103.207031 1573781028.6690
MEM 103.453125 1573781028.7693
MEM 103.453125 1573781028.8695
MEM 103.707031 1573781028.9698
MEM 103.953125 1573781029.0700
MEM 104.464844 1573781029.1703
MEM 104.703125 1573781029.2705
MEM 104.953125 1573781029.3707
MEM 105.203125 1573781029.4710
MEM 105.457031 1573781029.5712
MEM 105.714844 1573781029.6715
MEM 105.972656 1573781029.7717
MEM 106.230469 1573781029.8719
MEM 106.488281 1573781029.9722
MEM 106.746094 1573781030.0724
MEM 107.207031 1573781030.1726
MEM 107.453125 1573781030.2729
MEM 107.707031 1573781030.3731
MEM 107.953125 1573781030.4734
MEM 108.207031 1573781030.5736
MEM 108.464844 1573781030.6738
MEM 108.980469 1573781030.7741
MEM 109.238281 1573781030.8743
MEM 109.453125 1573781030.9746
MEM 109.964844 1573781031.0748
MEM 110.203125 1573781031.1751
MEM 110.453125 1573781031.2753
MEM 110.703125 1573781031.3756
MEM 110.953125 1573781031.4758
MEM 111.207031 1573781031.5761
MEM 111.453125 1573781031.6763
MEM 111.953125 1573781031.7765
MEM 112.203125 1573781031.8768
MEM 112.457031 1573781031.9770
MEM 112.714844 1573781032.0773
MEM 112.972656 1573781032.1775
MEM 113.230469 1573781032.2778
MEM 113.488281 1573781032.3780
MEM 113.746094 1573781032.4782
MEM 113.953125 1573781032.5785
MEM 114.203125 1573781032.6787
MEM 114.457031 1573781032.7790
MEM 114.703125 1573781032.8792
MEM 114.953125 1573781032.9794
MEM 115.453125 1573781033.0797
MEM 115.703125 1573781033.1799
MEM 115.957031 1573781033.2802
MEM 116.203125 1573781033.3804
MEM 117.703125 1573781033.4807
MEM 117.703125 1573781033.5810
MEM 117.703125 1573781033.6812
MEM 117.703125 1573781033.7815
MEM 117.703125 1573781033.8817
MEM 117.703125 1573781033.9820
MEM 117.960938 1573781034.0822
MEM 118.210938 1573781034.1825
MEM 118.460938 1573781034.2827
MEM 118.710938 1573781034.3830
MEM 118.960938 1573781034.4832
MEM 118.960938 1573781034.5836
MEM 119.214844 1573781034.6839
MEM 119.472656 1573781034.7841
MEM 119.472656 1573781034.8844
MEM 119.710938 1573781034.9846
MEM 119.960938 1573781035.0849
